2019-05-11T00:50:38.2684933Z - 7356 - Warn - Exception cleaning temporary files
2019-05-11T00:50:38.2994574Z - 7356 - Warn - 
2019-05-11T00:50:38.2994574Z - 7356 - Warn - Could not find a part of the path 'E:\ZenfulNeps_Git\ZenfulNeps\ZenfulNeps\App_Data\51Degrees'.
2019-05-11T00:50:38.3024536Z - 7356 - Warn -    at System.IO.__Error.WinIOError(Int32 errorCode, String maybeFullPath)
   at System.IO.FileSystemEnumerableIterator`1.CommonInit()
   at System.IO.FileSystemEnumerableIterator`1..ctor(String path, String originalUserPath, String searchPattern, SearchOption searchOption, SearchResultHandler`1 resultHandler, Boolean checkHost)
   at System.IO.DirectoryInfo.InternalGetFiles(String searchPattern, SearchOption searchOption)
   at System.IO.DirectoryInfo.GetFiles()
   at FiftyOne.Foundation.Mobile.Detection.WebProvider.CleanTemporaryFiles()
2019-05-24T15:43:43.5527562Z - 34616 - Fatal - No data source available to create provider.
2019-05-24T15:45:40.6059253Z - 34616 - Fatal - No data source available to create provider.
2019-05-24T16:46:13.0429353Z - 49476 - Fatal - No data source available to create provider.
2019-05-24T16:51:11.2581142Z - 9132 - Fatal - No data source available to create provider.
2019-05-24T16:56:08.0172399Z - 77444 - Fatal - No data source available to create provider.
2019-05-24T17:43:27.4126815Z - 34268 - Fatal - No data source available to create provider.
2019-05-24T17:45:32.6935737Z - 62752 - Fatal - No data source available to create provider.
2019-05-24T17:47:37.1096013Z - 47764 - Fatal - No data source available to create provider.
2019-05-28T12:55:32.7678324Z - 18252 - Fatal - No data source available to create provider.
2019-05-28T13:01:50.0429643Z - 21344 - Fatal - No data source available to create provider.
2019-05-28T13:27:55.4800516Z - 8508 - Fatal - No data source available to create provider.
2019-05-28T13:31:12.3178843Z - 20380 - Fatal - No data source available to create provider.
2019-05-28T13:37:17.2383240Z - 19740 - Fatal - No data source available to create provider.
2019-06-10T13:01:27.3299916Z - 42448 - Fatal - No data source available to create provider.
2019-06-18T12:51:34.5413315Z - 23344 - Fatal - No data source available to create provider.
2019-06-18T12:53:52.6077417Z - 23344 - Fatal - No data source available to create provider.
2019-06-18T13:12:38.2048340Z - 16420 - Fatal - No data source available to create provider.
2019-06-18T13:20:09.7639291Z - 16420 - Fatal - No data source available to create provider.
2019-06-19T15:09:32.7474417Z - 9904 - Fatal - No data source available to create provider.
2019-06-19T15:14:35.6908842Z - 9904 - Fatal - No data source available to create provider.
2019-06-19T17:41:00.3823661Z - 25484 - Fatal - No data source available to create provider.
2019-06-19T17:42:31.2249084Z - 20884 - Fatal - No data source available to create provider.
2019-06-19T17:55:08.6337122Z - 36044 - Fatal - No data source available to create provider.
2019-06-19T18:06:59.9864486Z - 39008 - Fatal - No data source available to create provider.
2019-06-19T18:14:14.1741681Z - 4960 - Fatal - No data source available to create provider.
2019-06-19T18:54:19.2794495Z - 47204 - Fatal - No data source available to create provider.
2019-06-20T13:01:18.9446047Z - 13144 - Fatal - No data source available to create provider.
2019-06-20T13:05:19.4933028Z - 13144 - Fatal - No data source available to create provider.
2019-06-20T13:18:33.3263124Z - 19096 - Fatal - No data source available to create provider.
2019-06-20T13:20:34.8649667Z - 19096 - Fatal - No data source available to create provider.
2019-06-20T18:56:31.4444349Z - 24620 - Fatal - No data source available to create provider.
2019-06-20T18:58:46.1194942Z - 24620 - Fatal - No data source available to create provider.
2019-06-20T19:16:27.7963844Z - 26676 - Fatal - No data source available to create provider.
2019-06-20T19:20:43.4704428Z - 25040 - Fatal - No data source available to create provider.
2019-06-20T19:24:58.7262152Z - 24176 - Fatal - No data source available to create provider.
2019-06-20T19:30:54.1857299Z - 26756 - Fatal - No data source available to create provider.
2019-06-20T19:40:23.0948171Z - 5260 - Fatal - No data source available to create provider.
